hexid	cum_infections	population	geometry	cum_infectionsPC	logpopulation	cum_incidence	log_incidence
1	0	3.393765761	list(c(-2111574.98153218, -2121549.60466927, -2111745.04612979, -2092100.51897893, -2082211.04986402, -2091881.20226353, -2111574.98153218, 5225359.24812937, 5243201.15461567, 5266382.74622325, 5271730.08643886, 5253954.80690754, 5230765.68740191, 5225359.24812937))	0	0.5306818638461995	0	0
10	0	13996.954871999998	list(c(-2110440.03025695, -2120727.75849152, -2111139.75255262, -2091397.5529358, -2081195.5239845, -2090650.24802902, -2110440.03025695, 5143232.76030025, 5161040.23747436, 5184308.4483366, 5189774.43655486, 5172032.07888253, 5148758.72926465, 5143232.76030025))	0	4.146033562382956	0	0
100	0	58489.288537	list(c(-1880536.05462144, -1889845.54581453, -1880265.98313743, -1861509.74467991, -1852280.97051187, -1861727.92683607, -1880536.05462144, 5454077.38823299, 5471392.78894692, 5494312.34503256, 5499929.68641764, 5482679.02337732, 5459746.41688459, 5454077.38823299))	0	4.767076338642614	0	0
1000	0	37008.187731	list(c(-1405740.66599486, -1416997.78886701, -1410030.62583944, -1391925.64104227, -1380744.4151268, -1387592.45137498, -1405740.66599486, 5052579.75616576, 5068580.06383414, 5091802.21438643, 5099025.90331407, 5083074.43960989, 5059850.497738, 5052579.75616576))	0	4.568297818472658	0	0
1001	0	14643.050116	list(c(-1384984.44973207, -1396028.63339171, -1388994.04599011, -1371035.30742547, -1360066.69218593, -1366981.41733894, -1384984.44973207, 5122228.35943592, 5138204.59030399, 5161384.84304887, 5168592.10270661, 5152665.21511873, 5129481.78560342, 5122228.35943592))	0	4.165631548756366	0	0
1002	0	2208.2831728	list(c(-1364027.59538875, -1374858.29322738, -1367757.36934835, -1349946.48631972, -1339191.02853357, -1346171.37980652, -1364027.59538875, 5191753.41835197, 5207703.55194963, 5230842.03978164, 5238035.01417129, 5222134.69671527, 5198991.65589517, 5191753.41835197))	0	3.3440547631237876	0	0
1003	0	870.76536840000006	list(c(-1342873.32772914, -1353490.02956433, -1346323.85453739, -1328662.39782978, -1318120.60839282, -1325165.52509958, -1342873.32772914, 5261155.32704064, 5277077.36670661, 5300174.24170598, 5307355.06962385, 5291483.29265483, 5268380.49826401, 5261155.32704064))	0	2.9399011481919057	0	0
1004	0	992.49129	list(c(-1321524.86437955, -1331927.09559148, -1324696.75188207, -1307186.25433539, -1296858.60910742, -1303967.03295067, -1321524.86437955, 5330434.53616722, 5346326.509768, 5369381.94290001, 5376552.756936, 5360711.46644305, 5337648.75789329, 5330434.53616722))	0	2.9967267041288195	0	0
1005	0	5837.1948584	list(c(-1299985.41495465, -1310172.73561949, -1302879.30254614, -1285521.2596451, -1275408.20029848, -1282579.07564632, -1299985.41495465, 5399591.55205923, 5415451.5126777, 5438465.69348733, 5445628.61904954, 5429819.73597959, 5406796.93464732, 5399591.55205923))	0	3.76620419125694	0	0
1006	0	1474.4834944000002	list(c(-1278258.18022503, -1288230.18424648, -1280874.7377121, -1263670.6081914, -1253772.54306135, -1261004.81721057, -1278258.18022503, 5468626.93581601, 5484452.9624101, 5507426.09871256, 5514583.25307743, 5498808.6726883, 5475825.58220597, 5468626.93581601))	0	3.168639915354333	0	0
